name,total_enrollment,state,women_proportion,AIAN_proportion,Asian_proportion,Black_proportion,Hispanic_proportion,NHPI_proportion,White_proportion,MultiRace_proportion,Foreign_proportion,early_career_pay,stem_percent,net_cost,type,degree_length,in_state_total,out_of_state_total
Babson College,3049,Massachusetts,0.4280091833387996,0.0013119055428009,0.0898655296818629,0.0390291898983273,0.080026238110856,0.0006559527714004,0.3916038045260741,0.0190226303706133,0.2997704165300098,72000,0,18789.0,Private,4 Year,67416,67416
Baker University,2957,Kansas,0.5847142374027731,0.018261751775448,0.0145417653026716,0.0950287453500169,0.0497125464998309,0.0037199864727764,0.7419682110246871,0.0131890429489347,0.0081163341224213,47800,2,17951.0,Private,4 Year,38240,38240
Ball State University,20655,Indiana,0.6070200919874122,0.0012587751149842,0.0104091019123698,0.066715081094166,0.0335027838295812,0.0011619462599854,0.7875574921326556,0.0198983297022512,0.03839264100702,45600,7,9038.0,Public,4 Year,20130,36702
Barnard College,2573,New York,0.998056743101438,0.0003886513797123,0.14263505635445,0.0652934317916828,0.1111542945977458,0.0003886513797123,0.5476097940147687,0.0516906335017489,0.0746210649047804,59200,19,10190.0,Private,4 Year,72257,72257
Barry University,8518,Florida,0.6561399389528059,0.0032871566095327,0.0213665179619629,0.245362761211552,0.2385536510918056,0.0014087814040854,0.2328011270251232,0.0102136651796196,0.0669171166940596,47400,12,16578.0,Private,4 Year,40950,40950
Baylor University,16263,Texas,0.5627498001598721,0.0038123347475865,0.0577384246448994,0.0694213859681485,0.1319559736825923,0.0005534034311012,0.6422554264280883,0.0429809998155321,0.0420586607636967,55500,16,21454.0,Private,4 Year,58322,58322
Belhaven University,4114,Mississippi,0.6842489061740399,0.0055906660184735,0.004861448711716,0.5476421973748177,0.0350024307243558,0.0017015070491006,0.2807486631016043,0.014827418570734,0.0206611570247933,41200,2,21438.0,Private,4 Year,33800,33800
Bellarmine University,3609,Kentucky,0.6733167082294265,0.0024937655860349,0.0180105292324743,0.0543086727625381,0.027985591576614,0.0013854253255749,0.8212801330008312,0.026877251316154,0.0133000831255195,49000,11,18411.0,Private,4 Year,54450,54450
Bellevue University,9879,Nebraska,0.5318352059925093,0.0049600161959712,0.021662111549752,0.1182305901407025,0.0684279785403381,0.0030367446097783,0.5709079866383238,0.0213584370887741,0.0293551978945237,49400,23,10704.0,Private,4 Year,18120,18120
Belmont University,7244,Tennessee,0.6181667586968526,0.0022087244616234,0.0216731087796797,0.0438983986747653,0.0414135836554389,0.0009663169519602,0.7915516289342904,0.031888459414688,0.0125621203754831,47300,3,26120.0,Private,4 Year,46430,46430
Benedict College,2444,South Carolina,0.5008183306055647,0.0,0.0036824877250409,0.9885433715220948,0.0028641571194762,0.0,0.0032733224222585,0.0,0.0,38100,19,15657.0,Private,4 Year,22800,22800
Benedictine College,2138,Kansas,0.5257249766136576,0.0037418147801683,0.0121608980355472,0.0327408793264733,0.0523854069223573,0.0032740879326473,0.7904583723105706,0.0444340505144995,0.0318054256314312,48700,13,18057.0,Private,4 Year,39830,39830
Bentley University,5565,Massachusetts,0.4285714285714285,0.0007187780772686,0.0778077268643306,0.0267744833782569,0.0584007187780772,0.0,0.5638814016172506,0.0183288409703504,0.2122192273135669,66600,7,19429.0,Private,4 Year,66200,66200
