name,total_enrollment,state,women_proportion,AIAN_proportion,Asian_proportion,Black_proportion,Hispanic_proportion,NHPI_proportion,White_proportion,MultiRace_proportion,Foreign_proportion
Allan Hancock College,11047,California,0.5116321173169186,0.00669865121752512,0.040916085815153436,0.027609305693853534,0.5337195618720014,0.004526115687516973,0.35358015750882593,0.030687064361365077,0.001810446275006789
Allegany College of Maryland,3227,Maryland,0.6836070653858073,0.0012395413696932136,0.0030988534242330336,0.10598078710876975,0.01456461109389526,0.0006197706848466068,0.8295630616671832,0.01456461109389526,0.012705299039355439
Allegheny College,2023,Pennsylvania,0.5467128027681661,0.0009886307464162135,0.022244191794364803,0.04597132970835393,0.06277805239742956,0.0,0.773109243697479,0.04300543746910529,0.03806228373702422
Allen County Community College,2628,Kansas,0.6426940639269406,0.0121765601217656,0.0167427701674277,0.06126331811263318,0.0806697108066971,0.0,0.8230593607305936,0.000380517503805175,0.001141552511415525
Alliant International University at San Diego,3957,California,0.6719737174627243,0.001516300227445034,0.0677280768258782,0.058377558756633814,0.23805913570887036,0.0032853171594642407,0.3831185241344453,0.05155420773313116,0.06368460955269144
Allied American University,2244,California,0.38235294117647056,0.006238859180035651,0.018270944741532978,0.24732620320855614,0.14260249554367202,0.009358288770053475,0.5298573975044564,0.030303030303030304,0.0
Alvernia University,2917,Pennsylvania,0.7264312649982859,0.0023997257456290708,0.00994172094617758,0.12889955433664724,0.07027768255056564,0.0006856359273225917,0.6938635584504628,0.013369900582790539,0.002742543709290367
Alverno College,2389,Wisconsin,0.9686061113436585,0.012557555462536627,0.04897446630389284,0.15864378401004606,0.16785265801590624,0.0029300962745918793,0.5613227291753872,0.027208036835496024,0.01590623691921306
Alvin Community College,4837,Texas,0.5627455034112053,0.006615670870374199,0.05085796981600165,0.10440355592309282,0.3070084763283027,0.003721314864585487,0.5120942733099029,0.0002067397146991937,0.0
Amarillo College,10336,Texas,0.6145510835913313,0.013157894736842105,0.029411764705882353,0.05079334365325077,0.3811919504643963,0.0,0.5170278637770898,0.0,9.674922600619196e-05
