name,early_career_pay,stem_percent
University of Indianapolis,47300,5
Ball State University,45600,7
University of Saint Francis-Fort Wayne,45700,5
Indiana University-Purdue University-Fort Wayne,47300,17
Marian University (Indiana),48400,3
Iowa State University,56100,31
Drake University,52800,7
University of Iowa,54100,16
Grinnell College,53400,41
Cornell College,49600,22
Loras College,48000,14
Dordt College,51000,17
Central College,49000,36
Graceland University-Lamoni,48300,5
Simpson College,49900,17
Wartburg College,49300,34
Coe College,47200,24
Luther College,48200,21
University of Northern Iowa,47100,8
Saint Ambrose University,46900,8
Northwestern College,44800,11
Morningside College,44900,6
Clarke University,44900,6
University of Dubuque,44200,7
Mount Mercy University,47200,4
William Penn University,43900,7
Upper Iowa University,44200,3
Iowa Wesleyan University,42600,8
University of Kansas,53000,16
Kansas State University,52500,18
Benedictine College,48700,13
Ottawa University-Ottawa,49800,7
University of Saint Mary,49500,6
Newman University,48000,11
Wichita State University,48700,24
Pittsburg State University,47100,8
Baker University,47800,2
Southwestern College (Kansas),48500,10
Washburn University,47000,4
McPherson College,44500,9
Kansas Wesleyan University,44700,10
Fort Hays State University,45100,6
Sterling College,42700,7
MidAmerica Nazarene University,46200,1
Emporia State University,43500,9
Tabor College,43300,7
Friends University,44700,14
Bethel College-North Newton,42700,12
Bethany College (Kansas),39100,17
University of Kentucky,51700,19
Thomas More College,50000,8
Bellarmine University,49000,11
Centre College,49500,22
University of Louisville,49500,18
Northern Kentucky University,49000,12
Transylvania University,47900,25
Western Kentucky University,45500,10
Georgetown College,45000,10
Brescia University,44300,7
Eastern Kentucky University,45600,5
Murray State University,44800,9
Spalding University,44800,0
Kentucky Wesleyan College,42100,14
Union College (Kentucky),40400,4
Morehead State University,41300,9
University of the Cumberlands,39800,8
Kentucky State University,40700,13
Berea College,39500,27
Asbury University,39400,4
University of Pikeville,39000,11
Kentucky Christian University,39600,3
Midway University,39200,3
Campbellsville University,37600,7
Lindsey Wilson College,35300,2
Tulane University of Louisiana,56800,22
Louisiana State University and Agricultural & Mechanical College,54800,24
Louisiana Tech University,53100,24
Louisiana State University Health Sciences Center-New Orleans,52300,2
University of Louisiana at Monroe,48500,7
University of Louisiana at Lafayette,48200,19
University of New Orleans,49900,23
Franciscan Missionaries of Our Lady University,51200,1
Loyola University New Orleans,47900,4
Centenary College of Louisiana,47000,26
McNeese State University,50200,13
Xavier University of Louisiana,46700,35
University of Holy Cross,48400,3
Nicholls State University,44500,5
Southeastern Louisiana University,46700,8
Southern University and A&M College,48000,17
Louisiana College,44800,4
Louisiana State University-Shreveport,44500,10
Dillard University,44700,20
Northwestern State University of Louisiana,44300,6
Grambling State University,43100,10
Southern University at New Orleans,40100,13
Maine Maritime Academy,67000,48
Bowdoin College,61300,37
Bates College,59500,23
Colby College,59200,25
University of Maine,52000,24
University of New England,50100,7
Saint Joseph's College of Maine,46900,2
Thomas College,46100,3
University of Southern Maine,46900,8
Husson University,43300,1
University of Maine at Fort Kent,43500,5
University of Maine at Augusta,41600,7
University of Maine at Farmington,41100,5
University of Maine at Presque Isle,39000,6
University of Maine at Machias,37100,13
Maine College of Art,36300,0
United States Naval Academy,80100,58
Capitol Technology University,67400,88
Johns Hopkins University,67200,31
University of Maryland-College Park,61300,33
Loyola University Maryland,59900,8
University of Maryland-Baltimore County,58100,45
"University of Maryland, Baltimore",57300,4
University of Maryland-University College,55300,27
Washington Adventist University,55600,9
St Mary's College of Maryland,53300,27
McDaniel College,51100,6
Mount St. Mary's University,50200,11
Washington College,52800,21
Stevenson University,50400,15
Towson University,51200,15
Goucher College,49400,11
Bowie State University,50300,11
Salisbury University,50400,12
University of Baltimore,51000,2
Frostburg State University,49600,19
University of Maryland Eastern Shore,48300,14
Notre Dame of Maryland University,48300,3
Maryland Institute College of Art,49000,0
Hood College,47900,32
Massachusetts Institute of Technology,86300,69
Harvard University,74800,19
Worcester Polytechnic Institute,73600,86
Babson College,72000,0
Williams College,67500,32
MCPHS University,65900,2
Tufts University,65200,25
Massachusetts Maritime Academy,67900,47
Bentley University,66600,7
Amherst College,63800,32
Boston College,63600,13
College of the Holy Cross,61800,24
Boston University,61400,25
Brandeis University,60600,29
Wentworth Institute of Technology,62700,39
Northeastern University,62500,40
University of Massachusetts-Lowell,58800,35
Wellesley College,58900,34
Stonehill College,55900,18
Western New England University,56400,21
University of Massachusetts-Amherst,57400,24
Merrimack College,56000,13
Clark University,52600,14
Smith College,52700,26
Wheaton College (Massachusetts),52600,28
Kettering University,69900,74
Michigan Technological University,65000,81
University of Michigan-Ann Arbor,63500,38
Lawrence Technological University,57900,60
Michigan State University,55300,20
University of Michigan-Dearborn,55700,37
Albion College,52100,23
Kalamazoo College,51600,31
Oakland University,51300,19
University of Detroit Mercy,51800,13
Western Michigan University,50900,16
Wayne State University,50800,21
Calvin College,50200,23
Hope College,49200,18
Alma College,48400,15
College for Creative Studies,51200,0
Ferris State University,50000,8
Eastern Michigan University,47300,6
Northwood University,47800,1
Walsh College of Accountancy and Business Administration,49400,5
Andrews University,47600,7
Cleary University,47400,0
Central Michigan University,47700,13
Lake Superior State University,45900,14
Saginaw Valley State University,46400,12
Carleton College,58800,45
Saint Johns University,59400,25
University of St Thomas (Minnesota),57500,20
University of Minnesota-Twin Cities,57200,30
St Olaf College,54100,30
Macalester College,53600,31
Gustavus Adolphus College,51200,22
