total_enrollment,women_proportion,Foreign_proportion,early_career_pay,stem_percent,net_cost,type,in_state_total,out_of_state_total
5589,0.5711218464841653,0.023438898,56400,12,21942,Private,59714,59714
15805,0.6137298323315407,0.042201835,47700,17,8972,Public,17490,27360
10061,0.6113706391014809,0.023456913,47500,8,12275,Public,17277,20641
42453,0.5208583610110004,0.2286999740889925,64500,23,14338,Private,71620,71620
8428,0.5934978642619838,0.008186996,46900,8,15924,Public,18970,32230
14792,0.6316928069226609,0.025351541,45100,11,11183,Public,18591,20591
20626,0.4991273150392708,0.081838456,51800,21,11569,Public,21229,30567
4682,0.4250320375907732,0.2616403246475865,58700,36,20590,Private,52625,52625
31515,0.445121371,0.088973505,54800,22,11555,Public,19484,39477
12856,0.5556938394523958,0.043014935,53200,22,10638,Public,30738,54978
3989,0.7021809977437954,0.035347205,42700,4,12054,Public,18156,26606
12206,0.6454202851056857,0.014337211,46700,9,9738,Public,18210,31692
4543,0.5216817081223861,0.021791768,46000,17,9430,Public,15555,23544
9394,0.4924419842452629,0.037364275,50400,14,9969,Public,16381,24347
12820,0.5195787831513261,0.06723869,52400,25,7490,Public,15720,27810
5736,0.6392956764295676,0.019525802,39800,8,14058,Private,32000,32000
11563,0.6123843293262994,0.024734066,43400,7,12557,Public,15586,29068
4507,0.5134235633459063,0.1371200355003328,53300,31,15082,Private,52120,52120
12686,0.535472174,0.094750118,65400,23,7364,Private,66050,66050
10735,0.5162552398695854,0.033348859,65100,23,16676,Private,67328,67328
30848,0.5790650933609959,0.054201245,49900,18,13672,Public,24918,45566
5025,0.5964179104477612,0.002587065,44900,14,10812,Public,20264,30784
2804,0.7293152639087018,0.013552068,46800,3,12906,Private,37030,37030
7788,0.5125834617360041,0.063045711,60700,13,20493,Private,69354,69354
6722,0.588664088,0.036298721,47000,4,11494,Public,17107,28177
28686,0.5134211810639336,0.06783797,55900,20,10973,Public,22979,37763
3470,0.5734870317002881,0.00518732,40600,11,7995,Public,14657,19967
27578,0.5587424758865762,0.082493292,50800,21,10801,Public,23774,38668
25954,0.5342529089928335,0.015527472,53900,8,7407,Public,12110,22864
16769,0.5643151052537421,0.021170016,46500,2,16846,Private,38950,38950
2323,0.9737408523461042,0.118381403,58900,34,9316,Private,70200,70200
4558,0.1943835015357613,0.060114085,62700,39,21765,Private,48140,48140
2694,0.6020786933927246,0.0155902,42500,6,10337,Public,17136,25076
2884,0.5533980582524272,0.008668516,41800,8,8493,Public,20059,27964
29175,0.4824678663239075,0.070197087,54400,22,6366,Public,19774,35868
10382,0.5630899633981892,0.026873435,44700,8,7423,Public,13902,17902
5952,0.5438508064516129,0.002016129,51700,6,15407,Public,23891,35131
20171,0.5805364136631798,0.071092162,45500,10,11995,Public,18945,34839
23914,0.5107468428535585,0.077527808,50900,16,12770,Public,22626,25516
3922,0.4490056093829678,0.028301887,56400,21,23112,Private,50394,50394
3557,0.6241214506606692,0.013775654,41700,4,9288,Public,15960,24367
6049,0.60687717,0.060671185,44500,5,12986,Public,19955,36830
2584,0.4322755417956656,0.004643963,44800,19,9182,Public,19749,31221
15060,0.5556440903054449,0.010424967,55000,16,8619,Public,19598,35010
2654,0.6032403918613414,0.028636021,49900,18,18979,Private,55136,55136
14995,0.5169723241080361,0.1175725241747249,48700,24,13166,Public,19523,28704
4912,0.615228013,0.041938111,55700,13,23553,Private,60394,60394
2780,0.5381294964028777,0.099640288,52200,14,21131,Private,62514,62514
3936,0.6697154471544715,0.024136179,41100,6,15520,Private,19410,19410
11048,0.5753982621288921,0.009956553,50500,7,9651,Public,24505,32705
2126,0.5084666039510819,0.089840075,67500,32,6186,Private,69950,69950
8684,0.6254030400736987,0.033279595,49700,10,12138,Public,18435,24358
6024,0.6869189907038512,0.033366534,44300,9,11670,Public,24902,39158
6381,0.311706629,0.2115655853314527,73600,86,22585,Private,65304,65304
2976,0.7254704301075269,0.032258065,46700,35,19566,Private,33535,33535
12336,0.4897049286640726,0.1939850843060959,70300,22,7852,Private,69430,69430
6348,0.5171707624448645,0.101291745,63500,11,18227,Private,55750,55750
