total_enrollment,women_proportion,Foreign_proportion,early_career_pay,stem_percent,net_cost,type,in_state_total,out_of_state_total
22401,0.5964912280701754,0.033703853,47300,6,11588,Public,23813,23813
3653,0.6408431426225021,0.01368738,44000,5,10894,Public,18719,30779
13453,0.5561584776629748,0.030030476,49500,17,7461,Public,20116,37237
2083,0.6207393182909265,0.042726836,49200,25,18204,Private,57128,57128
2980,0.7204697986577181,0.041946309,49500,5,14972,Private,40520,40520
6483,0.5947863643374981,0.016504705,53600,7,19047,Private,47549,47549
14769,0.565305708,0.1595910352765928,62000,20,17035,Private,65762,65762
6114,0.6277396140006543,0.090121034,43500,9,8949,Public,15670,29587
5123,0.6014054265079055,0.066367363,62300,17,21409,Private,63060,63060
4035,0.5588599752168525,0.026270136,42900,7,8571,Public,16518,25328
3335,0.6002998500749626,0.014692654,39400,2,17140,Private,29440,29440
14600,0.5304109589041096,0.030068493,50000,8,9294,Public,22524,22524
30297,0.5702544806416477,0.024358847,49400,15,8003,Public,17935,33491
6393,0.3300484905365243,0.351008916,58300,48,25237,Private,54730,54730
49610,0.5595041322314049,0.072949002,49600,16,8811,Public,17440,29838
41226,0.549289283,0.045481007,50800,18,10676,Public,17332,32499
15231,0.5845315475018056,0.124876896,58700,10,21699,Private,70656,70656
13825,0.6052079566003616,0.2576491862567812,45100,6,8021,Public,13433,23501
3791,0.4869427591664468,0.01398048,48300,19,9777,Public,18918,29574
3944,0.702079108,0.015973631,42900,18,13607,Public,19108,29492
2275,0.5626373626373626,0.023736264,47800,3,22857,Private,50245,50245
5645,0.5241806908768822,0.021789194,49600,19,13511,Public,19374,33094
3786,0.5641838351822503,0.042789223,51200,8,17979,Private,47270,47270
33729,0.5373121053099706,0.063328293,58900,23,12120,Public,23922,47382
20517,0.522298582,0.017400205,49000,17,13791,Public,17492,30974
32556,0.5899987713478314,0.046258754,50600,18,12475,Public,22236,40810
2447,0.5247241520228851,0.037597058,58400,24,10802,Private,67490,67490
2012,0.4319085487077534,0.635685885,49800,25,19726,Private,30700,30700
7352,0.5644722524483133,0.059983678,57800,19,17726,Private,55154,55154
2120,0.7084905660377359,0.011792453,49400,11,18014,Private,58806,58806
4504,0.622113677,0.035968028,43100,10,12672,Public,14627,23650
2457,0.5421245421245421,0.026455026,51200,22,13822,Private,55310,55310
4469,0.619825464,0.017677333,48100,5,15936,Private,51656,51656
4393,0.6505804689278397,0.013885727,52700,12,20397,Private,38480,38480
6059,0.5730318534411619,0.055784783,49200,10,11525,Private,27179,27179
5827,0.5666723871632058,0.1419255191350609,52200,15,22711,Private,40780,40780
3627,0.5679625034463744,0.010476978,42900,5,8277,Public,15940,17590
4399,0.6017276653784951,0.014776085,48600,8,24821,Private,49248,49248
10953,0.5604857116771661,0.097872729,57300,7,26828,Private,62708,62708
2365,0.6350951374207188,0.065539112,47900,32,11807,Private,52192,52192
3455,0.6034732272069464,0.024602026,49200,18,14262,Private,44320,44320
3415,0.5546120058565154,0.026354319,43300,1,15129,Private,28010,28010
13429,0.5185791942810336,0.1011244321989723,50800,12,12829,Public,14627,30147
7898,0.3556596606735882,0.4832869080779944,64600,64,10434,Private,60058,60058
20615,0.5602231384913897,0.020616056,51200,10,10897,Public,24366,35890
13183,0.5507092467571872,0.075703558,47900,8,7640,Public,19680,30426
34435,0.4398141425874837,0.1155800784085959,56100,31,8559,Public,17708,32112
9508,0.6462978544383677,0.029028187,41700,16,12616,Public,17778,29006
8659,0.5748931747314933,0.02436771,43800,7,13592,Public,18525,28245
4085,0.6643818849449205,0.032313341,50100,5,24277,Private,50750,50750
20855,0.5959242387916567,0.023735315,57400,12,9727,Public,22108,38508
2850,0.5803508771929825,0.037894737,47000,9,11807,Private,36152,36152
3688,0.5070498915401301,0.023318872,51600,16,15284,Private,53214,53214
21372,0.5197922515440764,0.1763990267639902,67200,31,12168,Private,70076,70076
24766,0.4932568844383428,0.090729226,52500,18,12087,Public,19943,35447
14359,0.6291524479420573,0.013580333,48200,10,15740,Public,26818,33853
4957,0.571111559,0.00040347,48900,8,13364,Public,25238,34202
25714,0.5807342303803376,0.021311348,52500,22,14750,Public,18899,32625
2079,0.18999519,0.064935065,69900,74,24013,Private,51730,51730
6242,0.6598846523550144,0.027395066,55800,5,21591,Private,45640,45640
2503,0.4686376348381941,0.078306033,66500,47,13682,Private,68520,68520
2407,0.5226422933111757,0.066057333,45900,14,6889,Public,21972,21972
14895,0.606310843,0.070560591,53300,16,15553,Public,19112,31562
2787,0.6889128094725512,0.012917115,42600,9,13504,Public,20800,30400
2482,0.6317485898468976,0.002014504,46500,8,9017,Public,15426,22776
4015,0.2545454545454545,0.058032379,57900,60,23182,Private,43520,43520
2667,0.5148106486689163,0.043494563,56600,21,16175,Private,40180,40180
7119,0.446551482,0.1554993678887484,69500,52,15400,Private,66530,66530
