name,net_cost,type,degree_length,in_state_total,out_of_state_total
Blackburn College,10684.0,Private,4 Year,30340,30340
Blackfeet Community College,7381.0,Public,2 Year,10377,10377
Blinn College,11969.0,Public,2 Year,11643,18153
Bloomfield College,15734.0,Private,4 Year,41500,41500
Bloomsburg University of Pennsylvania,13668.0,Public,4 Year,20644,32218
Blue Mountain College,9776.0,Private,4 Year,18878,18878
Bluefield College,18836.0,Private,4 Year,34314,34314
Bluffton University,17622.0,Private,4 Year,43566,43566
Bob Jones University,13999.0,Private,4 Year,25126,25126
Boise Bible College,16437.0,Private,4 Year,18720,18720
Boise State University,10816.0,Public,4 Year,18386,34468
Boston Architectural College,26246.46,Private,4 Year,35174,35174
Boston Baptist College,17326.0,Private,4 Year,20410,20410
Boston College,15564.0,Private,4 Year,69942,69942
Boston University,26951.0,Private,4 Year,69668,69668
Bowdoin College,4936.0,Private,4 Year,68620,68620
Bowie State University,9568.0,Public,4 Year,19137,29777
Bradley University,14732.0,Private,4 Year,44380,44380
Brandeis University,12754.0,Private,4 Year,70835,70835
Brenau University,13931.0,Private,4 Year,41468,41468
Brescia University,8491.0,Private,4 Year,31600,31600
Brevard College,15471.0,Private,4 Year,39250,39250
Brewton-Parker College,14741.0,Private,4 Year,26540,26540
Briar Cliff University,25371.0,Private,4 Year,40984,40984
Bridgewater College,18127.0,Private,4 Year,47880,47880
Bridgewater State University,10733.0,Public,4 Year,23457,29597
Brigham Young University-Hawaii,8653.0,Private,4 Year,12146,12146
Brigham Young University-Idaho,7557.0,Private,4 Year,8710,8710
Brown University,5404.0,Private,4 Year,70326,70326
Bryant University,26973.0,Private,4 Year,59675,59675
Bryn Mawr College,12505.0,Private,4 Year,68860,68860
Bucknell University,15692.0,Private,4 Year,69754,69754
Bucks County Community College,8214.0,Public,2 Year,7160,16160
Buena Vista University,15482.0,Private,4 Year,43542,43542
Butler Community College,7524.0,Public,2 Year,9130,11260
Butler University,21603.0,Private,4 Year,54950,54950
Cabrini University,21681.0,Private,4 Year,44186,44186
Caldwell University,13296.0,Private,4 Year,46740,46740
California Baptist University,20303.0,Private,4 Year,45638,45638
California Christian College,13247.0,Private,4 Year,14520,14520
California College of the Arts,21926.0,Private,4 Year,59274,59274
California Institute of Technology,6444.0,Private,4 Year,67887,67887
California Institute of the Arts,36202.0,Private,4 Year,61345,61345
California Lutheran University,20584.0,Private,4 Year,56472,56472
California University of Pennsylvania,14060.0,Public,4 Year,21294,25152
Calvary University,13349.0,Private,4 Year,16656,16656
Calvin College,17538.0,Private,4 Year,44800,44800
Cameron University,7385.0,Public,4 Year,11902,21322
Campbell University,20029.0,Private,4 Year,43930,43930
Campbellsville University,12737.0,Private,4 Year,33400,33400
Canisius College,13430.0,Private,4 Year,39788,39788
Capital University,21106.0,Private,4 Year,46308,46308
Capitol Technology University,11462.0,Private,4 Year,31136,31136
Cardinal Stritch University,18118.0,Private,4 Year,38438,38438
Carl Albert State College,2841.0,Public,2 Year,7818,11943
Carleton College,10770.0,Private,4 Year,68844,68844
Carlow University,11309.0,Private,4 Year,40896,40896
Carnegie Mellon University,20372.0,Private,4 Year,69883,69883
Carroll College,20097.0,Private,4 Year,45366,45366
Carroll University,17163.0,Private,4 Year,41402,41402
Carson-Newman University,15746.0,Private,4 Year,36710,36710
Carthage College,21145.0,Private,4 Year,55540,55540
Case Western Reserve University,19976.0,Private,4 Year,64232,64232
Casper College,5381.0,Public,2 Year,9952,14464
Castleton University,12014.0,Public,4 Year,22912,38920
Catawba College,16850.0,Private,4 Year,41008,41008
Cazenovia College,9554.0,Private,4 Year,49226,49226
Cedar Crest College,13529.0,Private,4 Year,50760,50760
Cedarville University,16929.0,Private,4 Year,37630,37630
Centenary College of Louisiana,14459.0,Private,4 Year,49980,49980
Centenary University,26890.0,Private,4 Year,44442,44442
Central Arizona College,3946.0,Public,2 Year,10280,18800
Central Baptist College,9099.0,Private,4 Year,23700,23700
Central Christian College of Kansas,16458.0,Private,4 Year,34960,34960
Central College,15598.0,Private,4 Year,47575,47575
Central Community College,5666.0,Public,2 Year,10106,11426
Central Connecticut State University,12542.0,Public,4 Year,22792,34032
Central Maine Community College,7833.0,Public,2 Year,13060,15880
Central Michigan University,9965.0,Public,4 Year,23036,23036
Central Oregon Community College,8298.0,Public,2 Year,15708,23988
Central Penn College,16186.0,For Profit,4 Year,26808,26808
Central State University,11623.0,Public,4 Year,16578,18578
Central Texas College,3706.0,Public,2 Year,7740,12090
Central Washington University,8907.0,Public,4 Year,19187,34168
Central Wyoming College,2439.0,Public,2 Year,9801,14313
Centre College,14703.0,Private,4 Year,52180,52180
Chadron State College,7330.0,Public,4 Year,14576,14576
Chaminade University of Honolulu,15705.0,Private,4 Year,39004,39004
Champlain College,24723.0,Private,4 Year,56364,56364
Chapman University,23747.0,Private,4 Year,68552,68552
Charleston Southern University,14015.0,Private,4 Year,35700,35700
Chatham University,21017.0,Private,4 Year,49701,49701
Chestnut Hill College,17299.0,Private,4 Year,47180,47180
Cheyney University of Pennsylvania,13174.0,Public,4 Year,20497,25513
Chicago State University,11149.0,Public,4 Year,20901,29601
Chowan University,16975.0,Private,4 Year,34380,34380
Christian Brothers University,5486.0,Private,4 Year,40220,40220
Christopher Newport University,14370.0,Public,4 Year,26214,38680
Cincinnati Christian University,12725.0,Private,4 Year,25888,25888
Cisco College,6324.0,Public,2 Year,7295,9425
Claflin University,15169.0,Private,4 Year,25916,25916
Claremont McKenna College,14394.0,Private,4 Year,71110,71110
Clarendon College,5780.0,Public,2 Year,9426,11736
Clarion University of Pennsylvania,11747.0,Public,4 Year,23845,27703
Clark Atlanta University,28203.0,Private,4 Year,32960,32960
Clark University,16851.0,Private,4 Year,54900,54900
Clarke University,15959.0,Private,4 Year,42950,42950
Clarks Summit University,17375.0,Private,4 Year,30210,30210
