name,net_cost,type,degree_length,in_state_total,out_of_state_total
Holy Family University,16394.0,Private,4 Year,43922,43922
Holy Names University,17046.0,Private,4 Year,52506,52506
Hood College,11807.0,Private,4 Year,52192,52192
Hope College,14262.0,Private,4 Year,44320,44320
Hope International University,19228.0,Private,4 Year,43890,43890
Houghton College,17084.0,Private,4 Year,41776,41776
Houston Baptist University,17538.0,Private,4 Year,41344,41344
Howard College,5067.0,Public,2 Year,7394,10254
Howard Payne University,15598.0,Private,4 Year,36476,36476
Hult International Business School,31046.0,Private,4 Year,55650,55650
Humboldt State University,9887.0,Public,4 Year,20546,32426
Huntingdon College,16028.0,Private,4 Year,37150,37150
Huntington University,13153.0,Private,4 Year,34848,34848
Husson University,15129.0,Private,4 Year,28010,28010
Huston-Tillotson University,14946.0,Private,4 Year,21914,21914
Hutchinson Community College,5589.0,Public,2 Year,8800,10030
Idaho State University,12829.0,Public,4 Year,14627,30147
Ilisagvik College,7464.0,Public,2 Year,17300,17300
Illinois College,12983.0,Private,4 Year,42370,42370
Illinois Institute of Technology,10434.0,Private,4 Year,60058,60058
Illinois State University,10897.0,Public,4 Year,24366,35890
Illinois Wesleyan University,19322.0,Private,4 Year,58620,58620
Immaculata University,24133.0,Private,4 Year,39970,39970
Independence Community College,2873.0,Public,2 Year,8078,8468
Indiana Institute of Technology,22362.0,Private,4 Year,36920,36920
Indiana State University,7640.0,Public,4 Year,19680,30426
Iona College,19503.0,Private,4 Year,54090,54090
Iowa Central Community College,5313.0,Public,2 Year,12340,14740
Iowa Lakes Community College,7971.0,Public,2 Year,12808,13138
Iowa State University,8559.0,Public,4 Year,17708,32112
Iowa Western Community College,8429.0,Public,2 Year,12045,12195
Itasca Community College,8601.0,Public,2 Year,11840,13022
Itawamba Community College,6838.0,Public,2 Year,6920,9120
Ithaca College,22225.0,Private,4 Year,59540,59540
Jackson State University,12616.0,Public,4 Year,17778,29006
Jacksonville State University,13592.0,Public,4 Year,18525,28245
Jacksonville University,24277.0,Private,4 Year,50750,50750
James Madison University,9727.0,Public,4 Year,22108,38508
Jamestown Community College,5307.0,Public,2 Year,16600,21470
Jarvis Christian College,22315.0,Private,4 Year,20160,20160
Jefferson College,4991.0,Public,2 Year,9486,12666
Jefferson College of Health Sciences,18647.0,Private,4 Year,32756,32756
Jefferson Community College,6704.0,Public,2 Year,17090,21842
Jewish Theological Seminary of America,-13876.0,Private,4 Year,63896,63896
John Brown University,11807.0,Private,4 Year,36152,36152
John Carroll University,15284.0,Private,4 Year,53214,53214
John Paul the Great Catholic University,17289.0,Private,4 Year,33750,33750
John Wesley University,14930.0,Private,4 Year,16930,16930
Johns Hopkins University,12168.0,Private,4 Year,70076,70076
Johnson College,20052.0,Private,2 Year,26891,26891
Johnson University,11154.0,Private,4 Year,22760,22760
Jones County Junior College,4477.0,Public,2 Year,7572,9572
Judson College,15867.0,Private,4 Year,29100,29100
Judson University,16467.0,Private,4 Year,39848,39848
Juniata College,15073.0,Private,4 Year,58118,58118
Kalamazoo College,12010.0,Private,4 Year,58272,58272
Kansas City Art Institute,21867.0,Private,4 Year,48800,48800
Kansas State University,12087.0,Public,4 Year,19943,35447
Kansas Wesleyan University,20807.0,Private,4 Year,39000,39000
Kean University,15740.0,Public,4 Year,26818,33853
Keene State College,13364.0,Public,4 Year,25238,34202
Kehilath Yakov Rabbinical Seminary,906.0,Private,4 Year,12500,12500
Kennesaw State University,14750.0,Public,4 Year,18899,32625
Kentucky Christian University,16299.0,Private,4 Year,28090,28090
Kentucky Mountain Bible College,5415.0,Private,4 Year,14510,14510
Kentucky State University,12119.0,Public,4 Year,14780,26080
Kentucky Wesleyan College,15703.0,Private,4 Year,36204,36204
Kenyon College,12908.0,Private,4 Year,68440,68440
Kettering College,13411.0,Private,4 Year,20300,20300
Kettering University,24013.0,Private,4 Year,51730,51730
Keuka College,19816.0,Private,4 Year,43999,43999
Keystone College,7937.0,Private,4 Year,38820,38820
Kilgore College,4233.0,Public,2 Year,7286,11156
King University,13249.0,Private,4 Year,38476,38476
King's College,15105.0,Private,4 Year,50166,50166
Knox College,15259.0,Private,4 Year,56424,56424
Kutztown University of Pennsylvania,11580.0,Public,4 Year,21136,24994
Kuyper College,13616.0,Private,4 Year,29274,29274
LDS Business College,9501.0,Private,2 Year,9040,9040
LIM College,32497.0,For Profit,4 Year,47380,47380
LIU Brooklyn,20465.0,Private,4 Year,51735,51735
LIU Post,21048.0,Private,4 Year,51735,51735
La Roche College,14157.0,Private,4 Year,40120,40120
La Salle University,21591.0,Private,4 Year,45640,45640
La Sierra University,19158.0,Private,4 Year,41193,41193
LaGrange College,15833.0,Private,4 Year,42100,42100
Lackawanna College,12068.0,Private,2 Year,25750,25750
Lafayette College,13682.0,Private,4 Year,68520,68520
Laguna College of Art and Design,17084.0,Private,4 Year,40700,40700
Lake Erie College,17712.0,Private,4 Year,41330,41330
Lake Forest College,16182.0,Private,4 Year,57454,57454
Lake Michigan College,5825.0,Public,2 Year,11752,13597
Lake Region State College,5890.0,Public,2 Year,11135,11135
Lake Superior State University,6889.0,Public,4 Year,21972,21972
Lakeland University,14764.0,Private,4 Year,38104,38104
Lamar Community College,9230.0,Public,2 Year,10538,12920
Lamar University,15553.0,Public,4 Year,19112,31562
Lancaster Bible College,17241.0,Private,4 Year,34020,34020
Lander University,13504.0,Public,4 Year,20800,30400
Landmark College,25680.0,Private,2 Year,68640,68640
Lane College,7606.0,Private,4 Year,17960,17960
Langston University,9017.0,Public,4 Year,15426,22776
Laramie County Community College,2876.0,Public,2 Year,10626,15138
Lasell College,19050.0,Private,4 Year,51400,51400
Lassen Community College,8501.0,Public,2 Year,1437,9177
Lawrence Technological University,23182.0,Private,4 Year,43520,43520
Lawrence University,15122.0,Private,4 Year,57816,57816
Le Moyne College,15715.0,Private,4 Year,48405,48405
LeTourneau University,16175.0,Private,4 Year,40180,40180
Lebanon Valley College,19648.0,Private,4 Year,55510,55510
Lee University,11486.0,Private,4 Year,25100,25100
Lees-McRae College,14738.0,Private,4 Year,37276,37276
Lehigh University,15400.0,Private,4 Year,66530,66530
Lenoir-Rhyne University,16225.0,Private,4 Year,48910,48910
Lesley University,26947.0,Private,4 Year,45000,45000
Lewis & Clark College,15761.0,Private,4 Year,63424,63424
Lewis University,13154.0,Private,4 Year,43028,43028
Lewis-Clark State College,11503.0,Public,4 Year,14198,26816
Liberty University,23178.0,Private,4 Year,35754,35754
Life Pacific College,14564.0,Private,4 Year,24194,24194
Life University,17209.0,Private,4 Year,27594,27594
Limestone College,22523.0,Private,4 Year,35765,35765
Lincoln Christian University,13741.0,Private,4 Year,20764,20764
Lincoln College,16561.0,Private,2 Year,26300,26300
Lincoln Memorial University,8731.0,Private,4 Year,30010,30010
Lincoln University,12379.0,Public,4 Year,21254,26390
Lincoln University,12379.0,Public,4 Year,14700,21240
Lindenwood University,20220.0,Private,4 Year,26600,26600
Lindsey Wilson College,14397.0,Private,4 Year,34235,34235
Lipscomb University,17144.0,Private,4 Year,44796,44796
Little Priest Tribal College,13836.0,Private,2 Year,12120,12120
Livingstone College,16599.0,Private,4 Year,25091,25091
Longwood University,12984.0,Public,4 Year,25086,41046
Loras College,16768.0,Private,4 Year,42459,42459
Louisburg College,14091.0,Private,2 Year,29290,29290
Louisiana College,12874.0,Private,4 Year,22618,22618
Louisiana Tech University,5751.0,Public,4 Year,16140,25053
Lourdes University,14223.0,Private,4 Year,32580,32580
Loyola Marymount University,27017.0,Private,4 Year,63012,63012
Loyola University Chicago,22969.0,Private,4 Year,58528,58528
Loyola University Maryland,20672.0,Private,4 Year,63515,63515
Loyola University New Orleans,19988.0,Private,4 Year,53072,53072
Lubbock Christian University,18132.0,Private,4 Year,30142,30142
Luther College,17248.0,Private,4 Year,51750,51750
Lycoming College,16206.0,Private,4 Year,52883,52883
Lyndon State College,10075.0,Public,4 Year,22672,35992
Lynn University,29181.0,Private,4 Year,50380,50380
Lyon College,10114.0,Private,4 Year,37920,37920
MCPHS University,27364.0,Private,4 Year,49105,49105
MacMurray College,14095.0,Private,4 Year,37130,37130
Macalester College,11062.0,Private,4 Year,66500,66500
Madonna University,10586.0,Private,4 Year,31850,31850
Maharishi University of Management,18230.0,Private,4 Year,23930,23930
Maine College of Art,23793.0,Private,4 Year,46890,46890
Maine College of Health Professions,15306.0,Private,2 Year,11210,11210
Maine Maritime Academy,15475.0,Public,4 Year,23788,37408
Malone University,15190.0,Private,4 Year,40360,40360
Manchester University,15251.0,Private,4 Year,42338,42338
Manhattan Christian College,16061.0,Private,4 Year,24942,24942
Manhattan College,17219.0,Private,4 Year,59680,59680
Manhattan School of Music,34433.0,Private,4 Year,60435,60435
Manhattanville College,16895.0,Private,4 Year,53340,53340
Manor College,17328.0,Private,2 Year,24757,24757
Mansfield University of Pennsylvania,12531.0,Public,4 Year,24258,33708
Maranatha Baptist University,16376.0,Private,4 Year,22510,22510
Marian University,14701.0,Private,4 Year,34622,34622
Marian University,14701.0,Private,4 Year,44640,44640
Marietta College,16724.0,Private,4 Year,47360,47360
Marion Military Institute,9715.0,Public,2 Year,14368,20368
Marist College,19595.0,Private,4 Year,55150,55150
Marlboro College,20837.0,Private,4 Year,53125,53125
Marquette University,19219.0,Private,4 Year,54590,54590
Mars Hill University,16941.0,Private,4 Year,42560,42560
Marshall University,6064.0,Public,4 Year,18578,29064
Martin Luther College,12267.0,Private,4 Year,21490,21490
Martin Methodist College,11544.0,Private,4 Year,32646,32646
Martin University,16560.0,Private,4 Year,24310,24310
Mary Baldwin University,16260.0,Private,4 Year,40495,40495
Marygrove College,13382.0,Private,4 Year,31430,31430
Maryland Institute College of Art,28566.0,Private,4 Year,61910,61910
Marymount California University,15135.0,Private,4 Year,50800,50800
Marymount Manhattan College,27188.0,Private,4 Year,50610,50610
Marymount University,18781.0,Private,4 Year,44656,44656
Maryville College,10320.0,Private,4 Year,46304,46304
Maryville University of Saint Louis,19767.0,Private,4 Year,38558,38558
Marywood University,18334.0,Private,4 Year,48810,48810
Massachusetts College of Art and Design,15662.0,Public,4 Year,26700,49900
Massachusetts College of Liberal Arts,9444.0,Public,4 Year,21714,30659
Massachusetts Institute of Technology,4995.0,Private,4 Year,67342,67342
Massachusetts Maritime Academy,6129.0,Public,4 Year,22399,38777
Mayville State University,8151.0,Public,4 Year,14506,17239
McDaniel College,11215.0,Private,4 Year,54690,54690
McKendree University,9793.0,Private,4 Year,40440,40440
McMurry University,16303.0,Private,4 Year,35846,35846
McNeese State University,5812.0,Public,4 Year,16563,27638
McPherson College,16158.0,Private,4 Year,37739,37739
Medaille College,12532.0,Private,4 Year,43000,43000
Memphis College of Art,17657.0,Private,4 Year,41990,41990
Menlo College,20590.0,Private,4 Year,57025,57025
Mercer University,15550.0,Private,4 Year,48510,48510
Mercy College,11955.0,Private,4 Year,33442,33442
Mercyhurst University,14599.0,Private,4 Year,50950,50950
Meredith College,19149.0,Private,4 Year,48106,48106
Merrimack College,20296.0,Private,4 Year,57605,57605
Mesabi Range College,3654.03,Public,2 Year,10610,11792
Mesalands Community College,6992.33,Public,2 Year,6225,7605
Messiah College,20578.0,Private,4 Year,45680,45680
Methodist College,15871.0,Private,4 Year,28240,28240
Methodist University,26798.0,Private,4 Year,46736,46736
Michigan State University,6394.0,Public,4 Year,24782,50087
Michigan Technological University,9821.0,Public,4 Year,26402,44482
Mid-America Christian University,19691.0,Private,4 Year,26370,26370
Mid-Atlantic Christian University,16072.0,Private,4 Year,23000,23000
Mid-Plains Community College,5178.0,Public,2 Year,9660,10580
MidAmerica Nazarene University,16151.0,Private,4 Year,39444,39444
Middle Georgia State University,8199.0,Public,4 Year,13688,22648
Middle Tennessee State University,5752.0,Public,4 Year,18642,37800
Middlebury College,8846.0,Private,4 Year,69980,69980
Midland College,7411.0,Public,2 Year,7894,10774
Midland University,17385.0,Private,4 Year,41334,41334
Midway University,23641.0,Private,4 Year,33130,33130
Midwestern State University,6190.0,Public,4 Year,17896,19846
Miles College,14558.0,Private,4 Year,18646,18646
Miles Community College,4404.0,Public,2 Year,10510,15100
Millersville University of Pennsylvania,11269.0,Public,4 Year,25884,35604
Milligan College,13061.0,Private,4 Year,40800,40800
Millikin University,14865.0,Private,4 Year,46920,46920
Mills College,21148.0,Private,4 Year,43705,43705
Millsaps College,16706.0,Private,4 Year,53640,53640
Milwaukee Institute of Art & Design,21246.0,Private,4 Year,46660,46660
Milwaukee School of Engineering,19034.0,Private,4 Year,51138,51138
Mineral Area College,5851.0,Public,2 Year,11090,13850
Minneapolis College of Art and Design,24339.0,Private,4 Year,44820,44820
Minneapolis Community and Technical College,13662.0,Public,2 Year,16454,16454
Minnesota State Community and Technical College,9981.0,Public,2 Year,10358,10358
Minnesota State University Moorhead,9740.0,Public,4 Year,17854,25263
Minot State University,9457.0,Public,4 Year,13674,13674
Misericordia University,16260.0,Private,4 Year,47200,47200
Mississippi College,10940.0,Private,4 Year,28326,28326
Mississippi Delta Community College,3225.0,Public,2 Year,6540,8148
Mississippi Gulf Coast Community College,5952.0,Public,2 Year,8020,11120
Mississippi State University,13182.0,Public,4 Year,18850,33450
Mississippi University for Women,8761.0,Public,4 Year,14464,14464
Mississippi Valley State University,10507.0,Public,4 Year,14613,14613
Missouri Baptist University,17477.0,Private,4 Year,35844,35844
Missouri Southern State University,6945.0,Public,4 Year,13832,20799
Missouri University of Science and Technology,11853.0,Public,4 Year,20443,38773
Missouri Valley College,13180.0,Private,4 Year,29750,29750
Mitchell College,20356.0,Private,4 Year,46200,46200
Moberly Area Community College,6988.0,Public,2 Year,11322,14712
Mohawk Valley Community College,5196.0,Public,2 Year,15726,20096
Molloy College,17712.0,Private,4 Year,46522,46522
Monmouth College,12233.0,Private,4 Year,46640,46640
Monmouth University,15060.0,Private,4 Year,52119,52119
Monroe College,10255.0,For Profit,4 Year,26278,26278
Monroe Community College,5056.0,Public,2 Year,11766,16246
Montana State University,12812.0,Public,4 Year,17521,34949
Montana Tech of the University of Montana,10827.0,Public,4 Year,17067,32230
Montclair State University,16097.0,Public,4 Year,28354,36142
Montreat College,22793.0,Private,4 Year,35819,35819
Montserrat College of Art,19648.0,Private,4 Year,43300,43300
Moody Bible Institute,17216.0,Private,4 Year,25385,25385
Moore College of Art and Design,23388.0,Private,4 Year,57292,57292
Moravian College,18778.0,Private,4 Year,57014,57014
Morehead State University,8078.0,Public,4 Year,19130,23606
Morehouse College,24187.0,Private,4 Year,41012,41012
Morgan State University,11665.0,Public,4 Year,18160,28427
Morningside College,15826.0,Private,4 Year,41140,41140
Morris College,12395.0,Private,4 Year,19919,19919
Morrison Institute of Technology,19275.0,Private,2 Year,21300,21300
Mount Aloysius College,16654.0,Private,4 Year,33758,33758
Mount Carmel College of Nursing,18417.0,Private,4 Year,18907,18907
Mount Holyoke College,12273.0,Private,4 Year,64658,64658
Mount Ida College,21752.0,Private,4 Year,49400,49400
Mount Marty College,25865.0,Private,4 Year,35262,35262
Mount Mary University,9686.0,Private,4 Year,38700,38700
Mount Mercy University,17887.0,Private,4 Year,41332,41332
Mount Saint Mary College,19638.0,Private,4 Year,46226,46226
Mount Saint Mary's University,21768.0,Private,4 Year,53405,53405
Mount St. Mary's University,18701.0,Private,4 Year,54425,54425
Mount Vernon Nazarene University,17872.0,Private,4 Year,37414,37414
Muhlenberg College,15106.0,Private,4 Year,64360,64360
Multnomah University,23881.0,Private,4 Year,34770,34770
Murray State College,7470.0,Public,2 Year,11620,17770
Murray State University,7565.0,Public,4 Year,18274,33730
Muskingum University,13120.0,Private,4 Year,39996,39996
NHTI-Concord's Community College,15345.0,Public,2 Year,16752,25002
Naropa University,23477.0,Private,4 Year,44639,44639
Navajo Technical University,3005.0,Public,2 Year,8630,8630
Navarro College,7975.0,Public,2 Year,8018,11018
Nazareth College,15754.0,Private,4 Year,47860,47860
Nebraska College of Technical Agriculture,8664.0,Public,2 Year,12454,12454
Nebraska Wesleyan University,18972.0,Private,4 Year,43824,43824
Neosho County Community College,5875.0,Public,2 Year,9220,9220
Ner Israel Rabbinical College,10900.0,Private,4 Year,19000,19000
Neumann University,23522.0,Private,4 Year,44420,44420
Neumont College of Computer Science,20899.0,For Profit,4 Year,30720,30720
New College of Florida,7797.0,Public,4 Year,16183,39208
New England College,22943.0,Private,4 Year,52136,52136
New England Institute of Technology,28855.0,Private,4 Year,43005,43005
New Hampshire Institute of Art,21938.0,Private,4 Year,39740,39740
New Jersey City University,8164.0,Public,4 Year,24789,34311
New Jersey Institute of Technology,11452.0,Public,4 Year,30938,46350
New Mexico Highlands University,9060.0,Public,4 Year,14022,18174
New Mexico Institute of Mining and Technology,6355.0,Public,4 Year,16280,30778
New Mexico Junior College,7536.0,Public,2 Year,5802,6546
New Mexico Military Institute,3043.0,Public,2 Year,12373,20045
New York Institute of Technology,19444.0,Private,4 Year,51180,51180
New York School of Interior Design,27143.0,Private,4 Year,52134,52134
New York University,27274.0,Private,4 Year,69984,69984
Newberry College,18052.0,Private,4 Year,37090,37090
Newbury College,23587.0,Private,4 Year,50440,50440
Newman University,17290.0,Private,4 Year,39050,39050
Niagara University,12551.0,Private,4 Year,46380,46380
Nicholls State University,6256.0,Public,4 Year,17920,19013
Nichols College,20121.0,Private,4 Year,48750,48750
Norfolk State University,10513.0,Public,4 Year,19850,31778
North Carolina Central University,8246.0,Public,4 Year,15257,27964
North Carolina Wesleyan College,18404.0,Private,4 Year,41800,41800
North Central College,15003.0,Private,4 Year,49899,49899
North Central Kansas Technical College,8453.0,Public,2 Year,9745,9745
North Central Michigan College,456.0,Public,2 Year,9870,14010
North Central Missouri College,6100.0,Public,2 Year,9565,12265
North Central Texas College,4057.0,Public,2 Year,6700,11950
North Central University,16623.0,Private,4 Year,31640,31640
North Country Community College,8476.0,Public,2 Year,16358,22988
North Dakota State College of Science,6847.0,Public,2 Year,11352,18622
North Georgia Technical College,1995.0,Public,2 Year,7268,9938
North Greenville University,17317.0,Private,4 Year,29990,29990
North Idaho College,9152.0,Public,2 Year,11745,18315
North Iowa Area Community College,6260.0,Public,2 Year,12536,14849
North Park University,16425.0,Private,4 Year,39056,39056
Northeast Community College,5639.0,Public,2 Year,12085,13240
Northeast Mississippi Community College,5737.0,Public,2 Year,8296,11136
Northeast Texas Community College,4850.0,Public,2 Year,9149,12449
Northeastern Illinois University,16326.0,Public,4 Year,25446,37331
Northeastern Junior College,9098.0,Public,2 Year,12152,14990
Northeastern State University,5692.0,Public,4 Year,14288,22358
Northeastern University,18542.0,Private,4 Year,68267,68267
Northern Arizona University,11442.0,Public,4 Year,21846,36110
Northern Illinois University,15775.0,Public,4 Year,23142,23142
Northern Kentucky University,4640.0,Public,4 Year,20054,29702
Northern Maine Community College,7537.0,Public,2 Year,11638,14458
Northern Michigan University,8173.0,Public,4 Year,21654,27150
Northern Oklahoma College,4898.0,Public,2 Year,11250,17835
Northern State University,10728.0,Public,4 Year,16527,19500
Northland College,12138.0,Private,4 Year,45359,45359
Northpoint Bible College,17225.0,Private,4 Year,22080,22080
Northwest Christian University,13352.0,Private,4 Year,39350,39350
Northwest College,3217.0,Public,2 Year,9510,14022
Northwest Indian College,4765.0,Public,2 Year,10395,19260
Northwest Mississippi Community College,4343.0,Public,2 Year,6550,8950
Northwest Missouri State University,7372.0,Public,4 Year,19821,26473
Northwest Nazarene University,15998.0,Private,4 Year,36700,36700
Northwest University,12249.0,Private,4 Year,40170,40170
Northwestern College,18804.0,Private,4 Year,40300,40300
Northwestern College,18804.0,For Profit,2 Year,30887,30887
Northwestern Michigan College,8445.0,Public,2 Year,12924,18361
Northwestern Oklahoma State University,5113.0,Public,4 Year,11816,18933
Northwestern University,15633.0,Private,4 Year,71193,71193
Norwich University,20150.0,Private,4 Year,53856,53856
Notre Dame College,17312.0,Private,4 Year,40140,40140
Notre Dame de Namur University,22323.0,Private,4 Year,49844,49844
Notre Dame of Maryland University,16113.0,Private,4 Year,48750,48750
Nova Southeastern University,23046.0,Private,4 Year,44150,44150
Nyack College,14881.0,Private,4 Year,34800,34800
Oak Hills Christian College,14341.0,Private,4 Year,24298,24298
Oakland City University,19415.0,Private,4 Year,33900,33900
Oakland University,13165.0,Public,4 Year,22706,34330
Oakwood University,25019.0,Private,4 Year,26032,26032
Oberlin College,10914.0,Private,4 Year,71392,71392
Occidental College,13482.0,Private,4 Year,70182,70182
Odessa College,3417.0,Public,2 Year,8206,10862
Oglethorpe University,15182.0,Private,4 Year,51300,51300
Ohio Christian University,26346.0,Private,4 Year,31382,31382
Ohio Dominican University,19690.0,Private,4 Year,42028,42028
Ohio Northern University,18400.0,Private,4 Year,43910,43910
Ohio State University Agricultural Technical Institute,17597.0,Public,2 Year,16354,36370
Ohio Valley University,13192.0,Private,4 Year,29880,29880
Ohio Wesleyan University,19916.0,Private,4 Year,58190,58190
Oklahoma Baptist University,13267.0,Private,4 Year,35608,35608
Oklahoma Christian University,14847.0,Private,4 Year,30950,30950
Oklahoma City University,22677.0,Private,4 Year,39922,39922
Oklahoma Panhandle State University,4667.0,Public,4 Year,12889,13828
Oklahoma Wesleyan University,17095.0,Private,4 Year,35600,35600
Old Dominion University,9244.0,Public,4 Year,22492,41392
Olivet College,13743.0,Private,4 Year,37290,37290
Olivet Nazarene University,18363.0,Private,4 Year,43970,43970
Olympic College,4912.0,Public,2 Year,10177,10709
Onondaga Community College,9843.0,Public,2 Year,15624,20524
Oral Roberts University,14826.0,Private,4 Year,37178,37178
Oregon Institute of Technology,10201.0,Public,4 Year,19045,37114
Oregon State University,13506.0,Public,4 Year,24021,42996
Otero Junior College,9654.0,Public,2 Year,11994,14973
Otis College of Art and Design,27099.0,Private,4 Year,59680,59680
Otterbein University,16901.0,Private,4 Year,43132,43132
Ouachita Baptist University,14184.0,Private,4 Year,34670,34670
Ozark Christian College,9743.0,Private,4 Year,18780,18780
Pacific Lutheran University,18548.0,Private,4 Year,52856,52856
Pacific Northwest College of Art,29263.0,Private,4 Year,51110,51110
Pacific Union College,18573.0,Private,4 Year,38370,38370
Pacific University,19516.0,Private,4 Year,56826,56826
Paine College,15787.0,Private,4 Year,22257,22257
Palm Beach Atlantic University,20110.0,Private,4 Year,41570,41570
Panola College,6624.0,Public,2 Year,7416,10206
Paris Junior College,4506.0,Public,2 Year,7400,10400
Park University,9964.0,Private,4 Year,20850,20850
Paul Quinn College,8739.0,Private,4 Year,14495,14495
Pearl River Community College,-61.0,Public,2 Year,8400,10798
Pennsylvania College of Technology,18099.0,Public,4 Year,28284,35424
Pennsylvania Institute of Technology,8786.0,Private,2 Year,19365,19365
Pepperdine University,17456.0,Private,4 Year,69252,69252
Peru State College,9786.0,Public,4 Year,15462,15492
Pfeiffer University,15698.0,Private,4 Year,41460,41460
Philander Smith College,14040.0,Private,4 Year,20664,20664
Piedmont College,12335.0,Private,4 Year,36088,36088
Piedmont International University,11475.0,Private,4 Year,18780,18780
Pierpont Community and Technical College,8614.0,Public,2 Year,14898,21452
Pine Manor College,15940.0,Private,4 Year,45490,45490
Pittsburg State University,8576.0,Public,4 Year,15076,26420
Pitzer College,18613.0,Private,4 Year,70900,70900
Plymouth State University,7514.0,Public,4 Year,25199,33869
Point Loma Nazarene University,21472.0,Private,4 Year,46150,46150
Point Park University,17000.0,Private,4 Year,43650,43650
Point University,24438.0,Private,4 Year,28500,28500
Pomona College,2751.0,Private,4 Year,69496,69496
Pontifical College Josephinum,30659.0,Private,4 Year,33885,33885
Portland State University,10738.0,Public,4 Year,19533,37488
Post University,30702.0,For Profit,4 Year,42650,42650
Potomac State College of West Virginia University,4780.0,Public,2 Year,13012,19900
Pratt Community College,4360.0,Public,2 Year,9069,9369
Presbyterian College,9601.0,Private,4 Year,49140,49140
Prescott College,17062.0,Private,4 Year,39185,39185
Presentation College,18763.0,Private,4 Year,29573,29573
Princeton University,8322.0,Private,4 Year,65620,65620
Providence Christian College,11596.0,Private,4 Year,39066,39066
Providence College,20806.0,Private,4 Year,65090,65090
Queens University of Charlotte,19761.0,Private,4 Year,45544,45544
Quincy University,15326.0,Private,4 Year,38962,38962
Quinnipiac University,29248.0,Private,4 Year,62500,62500
Rabbi Jacob Joseph School,4767.0,Private,4 Year,17700,17700
Rabbinical Academy Mesivta Rabbi Chaim Berlin,5415.0,Private,4 Year,15800,15800
Rabbinical College Beth Shraga,6962.0,Private,4 Year,19250,19250
Rabbinical College of America,13671.0,Private,4 Year,19000,19000
Rabbinical College of Long Island,6200.0,Private,4 Year,16475,16475
Rabbinical College of Ohr Shimon Yisroel,6043.0,Private,4 Year,15100,15100
Rabbinical Seminary of America,6650.0,Private,4 Year,15800,15800
Radford University,10023.0,Public,4 Year,20616,32251
Rainy River Community College,6906.0,Public,2 Year,9605,10787
Ramapo College of New Jersey,8809.0,Public,4 Year,26824,36165
Randall University,13010.0,Private,4 Year,21794,21794
Randolph College,16590.0,Private,4 Year,53165,53165
Randolph-Macon College,19233.0,Private,4 Year,53260,53260
Ranger College,5218.0,Public,2 Year,7296,9996
Redlands Community College,5255.0,Public,2 Year,12793,15359
Reed College,13576.0,Private,4 Year,70550,70550
Reedley College,3789.0,Public,2 Year,8088,15828
Regent University,16041.0,Private,4 Year,27228,27228
Regis College,32732.0,Private,4 Year,56195,56195
Regis University,18114.0,Private,4 Year,48370,48370
Reinhardt University,19562.0,Private,4 Year,33500,33500
Rensselaer Polytechnic Institute,24154.0,Private,4 Year,69140,69140
Rhode Island College,5779.0,Public,4 Year,20758,33521
Rhode Island School of Design,26136.0,Private,4 Year,64360,64360
Rhodes College,19731.0,Private,4 Year,59293,59293
Rice University,6841.0,Private,4 Year,61350,61350
Rider University,19438.0,Private,4 Year,56010,56010
Ringling College of Art and Design,36222.0,Private,4 Year,61490,61490
Rio Salado College,10019.0,Public,2 Year,9482,13806
Ripon College,14694.0,Private,4 Year,52208,52208
Rivier University,16069.0,Private,4 Year,44316,44316
Roanoke College,20584.0,Private,4 Year,57720,57720
Robert Morris University,18222.0,Private,4 Year,41700,41700
Roberts Wesleyan College,15613.0,Private,4 Year,42446,42446
Rochester College,14195.0,Private,4 Year,31594,31594
Rochester Institute of Technology,21348.0,Private,4 Year,57176,57176
Rockford University,21731.0,Private,4 Year,39590,39590
Rockhurst University,14709.0,Private,4 Year,47790,47790
Rocky Mountain College,16728.0,Private,4 Year,36842,36842
Roger Williams University,29661.0,Private,4 Year,50412,50412
Rogers State University,9444.0,Public,4 Year,15486,23826
Rollins College,22856.0,Private,4 Year,64495,64495
Roosevelt University,27086.0,Private,4 Year,43055,43055
Rose State College,8321.0,Public,2 Year,10689,17066
Rose-Hulman Institute of Technology,26623.0,Private,4 Year,64637,64637
Rosedale Bible College,10430.0,Private,2 Year,14381,14381
Rosemont College,15943.0,Private,4 Year,32338,32338
Rowan University,21150.0,Public,4 Year,26249,34891
Rust College,8276.0,Private,4 Year,14200,14200
SUNY College at Brockport,8014.0,Public,4 Year,21770,31550
SUNY College at Geneseo,10072.0,Public,4 Year,22261,32041
SUNY College at Old Westbury,4928.0,Public,4 Year,19673,29453
SUNY College at Oswego,9341.0,Public,4 Year,22580,32360
SUNY College at Plattsburgh,7179.0,Public,4 Year,21467,31247
SUNY College at Potsdam,9210.0,Public,4 Year,21852,31632
SUNY College of Agriculture and Technology at Cobleskill,11996.0,Public,2 Year,22004,31784
SUNY College of Environmental Science and Forestry,9025.0,Public,4 Year,25404,35184
SUNY College of Technology at Alfred,10662.0,Public,4 Year,21140,30920
SUNY College of Technology at Canton,9034.0,Public,2 Year,21289,31069
SUNY College of Technology at Delhi,10664.0,Public,2 Year,20720,24690
SUNY Maritime College,11537.0,Public,4 Year,20805,30585
SUNY Polytechnic Institute,8056.0,Public,4 Year,21170,30950
Sacred Heart Major Seminary,27712.0,Private,4 Year,30515,30515
